"","president","speech_year","month","avg_sentiment","avg_approval"
"207","BARACK OBAMA",2013,2013-09-01,0.464989759344598,0.444
"208","BARACK OBAMA",2013,2013-10-01,0.452579365079365,0.426451612903226
"209","BARACK OBAMA",2013,2013-11-01,0.688867438867439,0.41
"210","BARACK OBAMA",2013,2013-12-01,0.561397345823575,0.412307692307692
"211","BARACK OBAMA",2014,2014-01-01,0.605898268398268,0.411333333333333
"212","BARACK OBAMA",2014,2014-02-01,0.585837623337623,0.418461538461538
"213","BARACK OBAMA",2014,2014-03-01,0.540180682201959,0.426666666666667
"214","BARACK OBAMA",2014,2014-04-01,0.640239698573032,0.437586206896552
"215","BARACK OBAMA",2014,2014-05-01,0.521707527895647,0.441290322580645
"216","BARACK OBAMA",2014,2014-06-01,0.608454810495627,0.421034482758621
"217","BARACK OBAMA",2014,2014-07-01,0.590995115995116,0.421
"218","BARACK OBAMA",2014,2014-08-01,0.250631681243926,0.416333333333333
"219","BARACK OBAMA",2014,2014-09-01,0.330295013628347,0.417142857142857
"220","BARACK OBAMA",2014,2014-10-01,0.502165392906134,0.415
"221","BARACK OBAMA",2014,2014-11-01,0.60875496031746,0.420689655172414
"222","BARACK OBAMA",2014,2014-12-01,0.523286174373131,0.442307692307692
"223","BARACK OBAMA",2015,2015-01-01,0.544940476190476,0.46448275862069
"224","BARACK OBAMA",2015,2015-02-01,0.333703703703704,0.459230769230769
"225","BARACK OBAMA",2015,2015-03-01,0.592337490551776,0.461935483870968
"226","BARACK OBAMA",2015,2015-04-01,0.585545822102426,0.467931034482759
"227","BARACK OBAMA",2015,2015-05-01,0.464919722678343,0.464516129032258
"228","BARACK OBAMA",2015,2015-06-01,0.556388888888889,0.45551724137931
"229","BARACK OBAMA",2015,2015-07-01,0.569308390022676,0.459666666666667
"230","BARACK OBAMA",2015,2015-08-01,0.502150793650793,0.453548387096774
"231","BARACK OBAMA",2015,2015-09-01,0.616793487154312,0.466551724137931
"232","BARACK OBAMA",2015,2015-10-01,0.501393202208419,0.462333333333333
"233","BARACK OBAMA",2015,2015-11-01,0.516832429174201,0.468928571428571
"234","BARACK OBAMA",2015,2015-12-01,0.439689381499726,0.456666666666667
"235","BARACK OBAMA",2016,2016-01-01,0.328481240981241,0.477666666666667
"236","BARACK OBAMA",2016,2016-02-01,0.538905196781909,0.478571428571429
"237","BARACK OBAMA",2016,2016-03-01,0.503009962850388,0.509
"238","BARACK OBAMA",2016,2016-04-01,0.412821239606954,0.503666666666667
"239","BARACK OBAMA",2016,2016-05-01,0.546215986394558,0.512903225806452
"240","BARACK OBAMA",2016,2016-06-01,0.587001287001287,0.514333333333333
"241","BARACK OBAMA",2016,2016-07-01,0.370026455026455,0.504285714285714
"242","BARACK OBAMA",2016,2016-08-01,0.494703595724004,0.513333333333333
"243","BARACK OBAMA",2016,2016-09-01,0.435795685795686,0.518965517241379
"244","BARACK OBAMA",2016,2016-10-01,0.553437559762861,0.534333333333333
"245","BARACK OBAMA",2016,2016-11-01,0.495537152058891,0.558888888888889
"246","BARACK OBAMA",2016,2016-12-01,0.362672975172975,0.558888888888889
"247","BARACK OBAMA",2017,2017-01-01,0.19367681498829,0.566
"248","BENJAMIN HARRISON",1889,1889-03-01,-0.04,NA
"249","BENJAMIN HARRISON",1889,1889-04-01,0.683333333333333,NA
"250","BENJAMIN HARRISON",1889,1889-05-01,-0.5,NA
"251","BENJAMIN HARRISON",1889,1889-06-01,-0.225,NA
"252","BENJAMIN HARRISON",1889,1889-07-01,2,NA
"253","BENJAMIN HARRISON",1889,1889-08-01,0.925,NA
"254","BENJAMIN HARRISON",1889,1889-10-01,2,NA
"255","BENJAMIN HARRISON",1889,1889-11-01,1.02380952380952,NA
"256","BENJAMIN HARRISON",1889,1889-12-01,1.28125,NA
"257","BENJAMIN HARRISON",1890,1890-01-01,1.21428571428571,NA
"258","BENJAMIN HARRISON",1890,1890-02-01,0.333333333333333,NA
"259","BENJAMIN HARRISON",1890,1890-03-01,0.485714285714286,NA
"260","BENJAMIN HARRISON",1890,1890-04-01,0.670833333333334,NA
"261","BENJAMIN HARRISON",1890,1890-05-01,0.541666666666667,NA
"262","BENJAMIN HARRISON",1890,1890-06-01,0.461111111111111,NA
"263","BENJAMIN HARRISON",1890,1890-07-01,0.612222222222222,NA
"264","BENJAMIN HARRISON",1890,1890-08-01,0.85,NA
"265","BENJAMIN HARRISON",1890,1890-09-01,0.783333333333333,NA
"266","BENJAMIN HARRISON",1890,1890-10-01,0.7,NA
"267","BENJAMIN HARRISON",1890,1890-11-01,0.25,NA
"268","BENJAMIN HARRISON",1890,1890-12-01,0.003125,NA
"269","BENJAMIN HARRISON",1891,1891-01-01,-0.24047619047619,NA
"270","BENJAMIN HARRISON",1891,1891-02-01,-0.265,NA
"271","BENJAMIN HARRISON",1891,1891-03-01,0.25,NA
"272","BENJAMIN HARRISON",1891,1891-04-01,0.222222222222222,NA
"273","BENJAMIN HARRISON",1891,1891-05-01,-0.0654761904761908,NA
"274","BENJAMIN HARRISON",1891,1891-06-01,0,NA
"275","BENJAMIN HARRISON",1891,1891-07-01,0.476190476190476,NA
"276","BENJAMIN HARRISON",1891,1891-08-01,0.144444444444444,NA
"277","BENJAMIN HARRISON",1891,1891-09-01,0.175,NA
"278","BENJAMIN HARRISON",1891,1891-10-01,0.816666666666668,NA
"279","BENJAMIN HARRISON",1891,1891-11-01,1,NA
"280","BENJAMIN HARRISON",1891,1891-12-01,-0.2,NA
"281","BENJAMIN HARRISON",1892,1892-01-01,1.2,NA
"282","BENJAMIN HARRISON",1892,1892-02-01,0.0515151515151509,NA
"283","BENJAMIN HARRISON",1892,1892-03-01,0.35625,NA
"284","BENJAMIN HARRISON",1892,1892-04-01,0.605555555555556,NA
"285","BENJAMIN HARRISON",1892,1892-05-01,0.402678571428571,NA
"286","BENJAMIN HARRISON",1892,1892-06-01,0.4,NA
"287","BENJAMIN HARRISON",1892,1892-07-01,0.648148148148148,NA
"288","BENJAMIN HARRISON",1892,1892-08-01,0.3,NA
"289","BENJAMIN HARRISON",1892,1892-09-01,0.275,NA
"290","BENJAMIN HARRISON",1892,1892-10-01,1,NA
"291","BENJAMIN HARRISON",1892,1892-11-01,0.6,NA
"292","BENJAMIN HARRISON",1892,1892-12-01,0.142857142857143,NA
"293","BENJAMIN HARRISON",1893,1893-01-01,0.53,NA
"294","BENJAMIN HARRISON",1893,1893-02-01,0.513784461152882,NA
"295","BILL CLINTON",1993,1993-01-01,0.621700680272109,0.555
"296","BILL CLINTON",1993,1993-02-01,0.524698960043787,0.545
"297","BILL CLINTON",1993,1993-03-01,0.55812074829932,0.52
"298","BILL CLINTON",1993,1993-04-01,0.574042007375341,0.55
"299","BILL CLINTON",1993,1993-05-01,0.551841676841677,0.44
"300","BILL CLINTON",1993,1993-06-01,0.542063492063492,0.396666666666667
"301","BILL CLINTON",1993,1993-07-01,0.555258717660292,0.45
"302","BILL CLINTON",1993,1993-08-01,0.562371615312792,0.435
"303","BILL CLINTON",1993,1993-09-01,0.509094457455113,0.493333333333333
"304","BILL CLINTON",1993,1993-10-01,0.545361743731309,0.48
"305","BILL CLINTON",1993,1993-11-01,0.697576058201058,0.476666666666667
"306","BILL CLINTON",1993,1993-12-01,0.530861801242236,0.495
"307","BILL CLINTON",1994,1994-01-01,0.609741579558653,0.546666666666667
"308","BILL CLINTON",1994,1994-02-01,0.46426116838488,0.53
"309","BILL CLINTON",1994,1994-03-01,0.593868722352329,0.505
"310","BILL CLINTON",1994,1994-04-01,0.559292821606254,0.49
"311","BILL CLINTON",1994,1994-05-01,0.550849021779254,0.5
"312","BILL CLINTON",1994,1994-06-01,0.649742233075566,0.46
"313","BILL CLINTON",1994,1994-07-01,0.489651211361738,0.425
"314","BILL CLINTON",1994,1994-08-01,0.416591080876795,0.41
"315","BILL CLINTON",1994,1994-09-01,0.593578643578644,0.413333333333333
"316","BILL CLINTON",1994,1994-10-01,0.558504464285714,0.433333333333333
"317","BILL CLINTON",1994,1994-11-01,0.372715247715248,0.44
"318","BILL CLINTON",1994,1994-12-01,0.630504201680672,0.413333333333333
"319","BILL CLINTON",1995,1995-01-01,0.518043602983362,0.46
"320","BILL CLINTON",1995,1995-02-01,0.509920634920635,0.45
"321","BILL CLINTON",1995,1995-03-01,0.522607489597781,0.435
"322","BILL CLINTON",1995,1995-04-01,0.419790611279973,0.473333333333333
"323","BILL CLINTON",1995,1995-05-01,0.545840548340548,0.5
"324","BILL CLINTON",1995,1995-06-01,0.612301587301587,0.46
"325","BILL CLINTON",1995,1995-07-01,0.433156435264869,0.465
"326","BILL CLINTON",1995,1995-08-01,0.44728370221328,0.45
