,X,president,speech_year,month,avg_sentiment,avg_approval,unemploychg,sp500chg,cons_sentchg,real_gdpchg,cpichg,pcechg,gdpc1chg,ind_prochg,savingschg,avg_sentiment_ctr
53,203,BARACK OBAMA,2013,5/1/13,0.634631186,0.489677419,1.315789474,2.076281172,10.60209424,0.5,-0.496986587,4.197975976,0,0.055754954,0.3,0.056577328
54,204,BARACK OBAMA,2013,6/1/13,0.584667756,0.468666667,0,-1.499930164,-0.473372781,0.5,-2.856489847,2.582572968,0,0.19351028,0.1,0.006613898
55,205,BARACK OBAMA,2013,7/1/13,0.547544643,0.46,2.666666667,4.946207982,1.189060642,3.2,-2.348942761,2.97103507,0.783415167,-0.492993528,-0.2,-0.030509215
56,206,BARACK OBAMA,2013,8/1/13,0.492034632,0.451612903,1.369863014,-3.129801903,-3.525264395,3.2,-2.864748819,3.452335638,0,0.719397512,0.1,-0.086019226
57,207,BARACK OBAMA,2013,9/1/13,0.464989759,0.444,0,2.974952318,-5.602923264,3.2,-0.45233363,3.993221057,0,0.490918593,0.1,-0.113064099
58,208,BARACK OBAMA,2013,10/1/13,0.452579365,0.426451613,0,4.459575262,-5.548387097,3.2,-0.642277258,5.584636093,0.798248938,-0.130116267,-0.5,-0.125474493
59,209,BARACK OBAMA,2013,11/1/13,0.688867439,0.41,4.166666667,2.804947164,2.595628415,3.2,-2.213387313,7.124468029,0,0.310794022,-0.1,0.110813581
60,210,BARACK OBAMA,2013,12/1/13,0.561397346,0.412307692,2.898550725,2.356279155,9.853528628,3.2,-3.17300299,3.16515199,0,0.30351197,0.2,-0.016656512
61,211,BARACK OBAMA,2014,1/1/14,0.605898268,0.411333333,1.492537313,-3.558290568,-1.575757576,-1,-2.909010349,-0.562602558,-0.251763584,-0.454956496,0.7,0.027844411
62,212,BARACK OBAMA,2014,2/1/14,0.585837623,0.418461538,-1.515151515,4.311702998,0.492610837,-1,-1.320934344,5.597394137,0,0.872691088,0.2,0.007783765
63,213,BARACK OBAMA,2014,3/1/14,0.540180682,0.426666667,0,0.693216561,-1.960784314,-1,-2.450466361,7.96804482,0,0.953363655,0.1,-0.037873176
64,214,BARACK OBAMA,2014,4/1/14,0.640239699,0.437586207,7.462686567,0.620078897,5.125,5.1,-2.237022726,6.142746715,1.253873251,0.146286475,0,0.062185841
65,215,BARACK OBAMA,2014,5/1/14,0.521707528,0.441290323,-1.612903226,2.103028001,-2.615933413,5.1,-2.283607084,4.696392255,0,0.300547152,0,-0.05634633
66,216,BARACK OBAMA,2014,6/1/14,0.60845481,0.421034483,3.174603175,1.905833166,0.732600733,5.1,-1.585358647,7.006911579,0,0.334389584,0,0.030400953
67,217,BARACK OBAMA,2014,7/1/14,0.590995116,0.421,-1.639344262,-1.507983058,-0.848484848,4.9,-1.350582344,4.417364813,1.208910625,0.144675377,0.1,0.012941258
