"","president_name","Emotion","Percentage"
"153","JAMES BUCHANAN","Joy",0.0454638037075791
"154","JAMES K. POLK","Joy",0.0482500387808389
"155","JAMES MADISON","Joy",0.0670058407431927
"156","JAMES MONROE","Joy",0.0490234863583827
"157","JIMMY CARTER","Joy",0.130302691815176
"158","JOHN ADAMS","Joy",0.070683208213646
"159","JOHN F. KENNEDY","Joy",0.146349645183053
"160","JOHN QUINCY ADAMS","Joy",0.0349610925662328
"161","JOHN TYLER","Joy",0.0418274307178413
"162","LYNDON B. JOHNSON","Joy",0.144998197189023
"163","MARTIN VAN BUREN","Joy",0.0446645446686732
"164","MILLARD FILLMORE","Joy",0.042704257999372
"165","RICHARD NIXON","Joy",0.141766230236729
"166","RONALD REAGAN","Joy",0.138650834290895
"167","RUTHERFORD B. HAYES","Joy",0.0545651469204897
"168","THEODORE ROOSEVELT","Joy",0.0993583762556013
"169","THOMAS JEFFERSON","Joy",0.0590651099582951
"170","ULYSSES S. GRANT","Joy",0.122445615919004
"171","WARREN G. HARDING","Joy",0.119271075964347
"172","WILLIAM HENRY HARRISON","Joy",0.072518789959614
"173","WILLIAM HOWARD TAFT","Joy",0.111262313616644
"174","WILLIAM MCKINLEY","Joy",0.0660727332956563
"175","WOODROW WILSON","Joy",0.12827560828556
"176","ZACHARY TAYLOR","Joy",0.0562119024204304
"177","ABRAHAM LINCOLN","Sadness",0.0468733626683766
"178","ANDREW JACKSON","Sadness",0.0456901191223224
"179","ANDREW JOHNSON","Sadness",0.050889538570021
"180","BARACK OBAMA","Sadness",0.0663641176220942
"181","BENJAMIN HARRISON","Sadness",0.0508005212449102
"182","BILL CLINTON","Sadness",0.0641296383616344
"183","CALVIN COOLIDGE","Sadness",0.0713615380376496
"184","CHESTER A. ARTHUR","Sadness",0.0346234064329946
"185","DONALD TRUMP","Sadness",0.0642146734902422
"186","DWIGHT D. EISENHOWER","Sadness",0.0557931343587537
"187","FRANKLIN D. ROOSEVELT","Sadness",0.0655840327829162
"188","FRANKLIN PIERCE","Sadness",0.0397506842510543
"189","GEORGE BUSH","Sadness",0.0561066573744918
"190","GEORGE W. BUSH","Sadness",0.0566716191967343
"191","GEORGE WASHINGTON","Sadness",0.0380610750879395
"192","GERALD FORD","Sadness",0.0543316888990196
"193","GROVER CLEVELAND","Sadness",0.0931424474589918
"194","HARRY S. TRUMAN","Sadness",0.0682271575213848
"195","HERBERT HOOVER","Sadness",0.065339004849582
"196","JAMES A. GARFIELD","Sadness",0.0991421123679188
"197","JAMES BUCHANAN","Sadness",0.0449175633003912
"198","JAMES K. POLK","Sadness",0.0406125029401915
"199","JAMES MADISON","Sadness",0.0472635570364087
"200","JAMES MONROE","Sadness",0.047009074862915
"201","JIMMY CARTER","Sadness",0.0565824161764703
"202","JOHN ADAMS","Sadness",0.0433062814646772
"203","JOHN F. KENNEDY","Sadness",0.0503678058618253
